X1,X3,X5,X6,X7,X8,Y1,Y2
-0.020202707317519466,5.68697535633982,7.0,2.0,0.0,0.0,15.55,21.33
-0.020202707317519466,5.68697535633982,7.0,3.0,0.0,0.0,15.55,21.33
-0.020202707317519466,5.68697535633982,7.0,4.0,0.0,0.0,15.55,21.33
-0.020202707317519466,5.68697535633982,7.0,5.0,0.0,0.0,15.55,21.33
-0.10536051565782628,5.766757273817589,7.0,2.0,0.0,0.0,20.84,28.28
-0.10536051565782628,5.766757273817589,7.0,3.0,0.0,0.0,21.46,25.38
-0.10536051565782628,5.766757273817589,7.0,4.0,0.0,0.0,20.71,25.16
-0.10536051565782628,5.766757273817589,7.0,5.0,0.0,0.0,19.68,29.6
-0.15082288973458366,5.68697535633982,7.0,2.0,0.0,0.0,19.5,27.3
-0.15082288973458366,5.68697535633982,7.0,3.0,0.0,0.0,19.95,21.97
-0.15082288973458366,5.68697535633982,7.0,4.0,0.0,0.0,19.34,23.49
-0.15082288973458366,5.68697535633982,7.0,5.0,0.0,0.0,18.31,27.87
-0.19845093872383832,5.766757273817589,7.0,2.0,0.0,0.0,17.05,23.77
-0.19845093872383832,5.766757273817589,7.0,3.0,0.0,0.0,17.41,21.46
-0.19845093872383832,5.766757273817589,7.0,4.0,0.0,0.0,16.95,21.16
-0.19845093872383832,5.766757273817589,7.0,5.0,0.0,0.0,15.98,24.93
-0.23572233352106983,5.840641657373398,7.0,2.0,0.0,0.0,28.52,37.73
-0.23572233352106983,5.840641657373398,7.0,3.0,0.0,0.0,29.9,31.27
-0.23572233352106983,5.840641657373398,7.0,4.0,0.0,0.0,29.63,30.93
-0.23572233352106983,5.840641657373398,7.0,5.0,0.0,0.0,28.75,39.44
-0.2744368457017603,6.0342845442909105,7.0,2.0,0.0,0.0,24.77,29.79
-0.2744368457017603,6.0342845442909105,7.0,3.0,0.0,0.0,23.93,29.68
-0.2744368457017603,6.0342845442909105,7.0,4.0,0.0,0.0,24.77,29.79
-0.2744368457017603,6.0342845442909105,7.0,5.0,0.0,0.0,23.93,29.4
-0.3011050927839216,5.5053315359323625,3.5,2.0,0.0,0.0,6.07,10.9
-0.3011050927839216,5.5053315359323625,3.5,3.0,0.0,0.0,6.05,11.19
-0.3011050927839216,5.5053315359323625,3.5,4.0,0.0,0.0,6.01,10.94
-0.3011050927839216,5.5053315359323625,3.5,5.0,0.0,0.0,6.04,11.17
-0.342490308946776,5.600272098286537,3.5,2.0,0.0,0.0,6.37,11.27
-0.342490308946776,5.600272098286537,3.5,3.0,0.0,0.0,6.4,11.72
-0.342490308946776,5.600272098286537,3.5,4.0,0.0,0.0,6.37,11.29
-0.342490308946776,5.600272098286537,3.5,5.0,0.0,0.0,6.4,11.67
-0.37106368139083207,5.68697535633982,3.5,2.0,0.0,0.0,6.85,11.74
-0.37106368139083207,5.68697535633982,3.5,3.0,0.0,0.0,6.79,12.05
-0.37106368139083207,5.68697535633982,3.5,4.0,0.0,0.0,6.77,11.73
-0.37106368139083207,5.68697535633982,3.5,5.0,0.0,0.0,6.81,11.93
-0.4155154439616658,5.766757273817589,3.5,2.0,0.0,0.0,7.18,12.4
-0.4155154439616658,5.766757273817589,3.5,3.0,0.0,0.0,7.1,12.23
-0.4155154439616658,5.766757273817589,3.5,4.0,0.0,0.0,7.1,12.4
-0.4155154439616658,5.766757273817589,3.5,5.0,0.0,0.0,7.1,12.14
-0.4462871026284195,5.840641657373398,3.5,2.0,0.0,0.0,10.85,16.78
-0.4462871026284195,5.840641657373398,3.5,3.0,0.0,0.0,10.54,16.8
-0.4462871026284195,5.840641657373398,3.5,4.0,0.0,0.0,10.77,16.75
-0.4462871026284195,5.840641657373398,3.5,5.0,0.0,0.0,10.56,16.67
-0.4780358009429998,5.909440711629391,3.5,2.0,0.0,0.0,8.6,12.07
-0.4780358009429998,5.909440711629391,3.5,3.0,0.0,0.0,8.49,12.22
-0.4780358009429998,5.909440711629391,3.5,4.0,0.0,0.0,8.45,12.08
-0.4780358009429998,5.909440711629391,3.5,5.0,0.0,0.0,8.5,12.04
-0.020202707317519466,5.68697535633982,7.0,2.0,0.1,1.0,24.58,26.47
-0.020202707317519466,5.68697535633982,7.0,3.0,0.1,1.0,24.63,26.37
-0.020202707317519466,5.68697535633982,7.0,4.0,0.1,1.0,24.63,26.44
-0.020202707317519466,5.68697535633982,7.0,5.0,0.1,1.0,24.59,26.29
-0.10536051565782628,5.766757273817589,7.0,2.0,0.1,1.0,29.03,32.92
-0.10536051565782628,5.766757273817589,7.0,3.0,0.1,1.0,29.87,29.87
-0.10536051565782628,5.766757273817589,7.0,4.0,0.1,1.0,29.14,29.58
-0.10536051565782628,5.766757273817589,7.0,5.0,0.1,1.0,28.09,34.33
-0.15082288973458366,5.68697535633982,7.0,2.0,0.1,1.0,26.28,30.89
-0.15082288973458366,5.68697535633982,7.0,3.0,0.1,1.0,26.91,25.6
-0.15082288973458366,5.68697535633982,7.0,4.0,0.1,1.0,26.37,27.03
-0.15082288973458366,5.68697535633982,7.0,5.0,0.1,1.0,25.27,31.73
-0.19845093872383832,5.766757273817589,7.0,2.0,0.1,1.0,23.53,27.31
-0.19845093872383832,5.766757273817589,7.0,3.0,0.1,1.0,24.03,24.91
-0.19845093872383832,5.766757273817589,7.0,4.0,0.1,1.0,23.54,24.61
-0.19845093872383832,5.766757273817589,7.0,5.0,0.1,1.0,22.58,28.51
-0.23572233352106983,5.840641657373398,7.0,2.0,0.1,1.0,35.56,41.68
-0.23572233352106983,5.840641657373398,7.0,3.0,0.1,1.0,37.12,35.28
-0.23572233352106983,5.840641657373398,7.0,4.0,0.1,1.0,36.9,34.43
-0.23572233352106983,5.840641657373398,7.0,5.0,0.1,1.0,35.94,43.33
-0.2744368457017603,6.0342845442909105,7.0,2.0,0.1,1.0,32.96,33.87
-0.2744368457017603,6.0342845442909105,7.0,3.0,0.1,1.0,32.12,34.07
-0.2744368457017603,6.0342845442909105,7.0,4.0,0.1,1.0,32.94,34.14
-0.2744368457017603,6.0342845442909105,7.0,5.0,0.1,1.0,32.21,33.67
-0.3011050927839216,5.5053315359323625,3.5,2.0,0.1,1.0,10.36,13.43
-0.3011050927839216,5.5053315359323625,3.5,3.0,0.1,1.0,10.43,13.71
-0.3011050927839216,5.5053315359323625,3.5,4.0,0.1,1.0,10.36,13.48
-0.3011050927839216,5.5053315359323625,3.5,5.0,0.1,1.0,10.39,13.7
-0.342490308946776,5.600272098286537,3.5,2.0,0.1,1.0,10.71,13.8
-0.342490308946776,5.600272098286537,3.5,3.0,0.1,1.0,10.8,14.28
-0.342490308946776,5.600272098286537,3.5,4.0,0.1,1.0,10.7,13.87
-0.342490308946776,5.600272098286537,3.5,5.0,0.1,1.0,10.75,14.27
-0.37106368139083207,5.68697535633982,3.5,2.0,0.1,1.0,11.11,14.28
-0.37106368139083207,5.68697535633982,3.5,3.0,0.1,1.0,11.13,14.61
-0.37106368139083207,5.68697535633982,3.5,4.0,0.1,1.0,11.09,14.3
-0.37106368139083207,5.68697535633982,3.5,5.0,0.1,1.0,11.16,14.45
-0.4155154439616658,5.766757273817589,3.5,2.0,0.1,1.0,11.68,13.9
-0.4155154439616658,5.766757273817589,3.5,3.0,0.1,1.0,11.69,13.72
-0.4155154439616658,5.766757273817589,3.5,4.0,0.1,1.0,11.7,13.88
-0.4155154439616658,5.766757273817589,3.5,5.0,0.1,1.0,11.69,13.65
-0.4462871026284195,5.840641657373398,3.5,2.0,0.1,1.0,15.41,19.37
-0.4462871026284195,5.840641657373398,3.5,3.0,0.1,1.0,15.2,19.43
